,dt_iso,pressure,humidity,wind_speed,wind_deg,node_id,P1,P2
497,2018-01-19 14:00:00 +0000 UTC,1012,97,4,280,574,2.9090476190476187,1.1152380952380951
498,2018-01-19 15:00:00 +0000 UTC,1012,97,3,270,574,4.870952380952382,2.3657142857142857
499,2018-01-19 16:00:00 +0000 UTC,1013,80,0,0,574,3.0047619047619047,1.352857142857143
500,2018-01-19 17:00:00 +0000 UTC,1012,80,1,230,574,2.4442857142857144,1.0495238095238097
501,2018-01-19 18:00:00 +0000 UTC,1012,74,1,300,574,3.046666666666667,1.431904761904762
502,2018-01-19 19:00:00 +0000 UTC,1013,80,4,60,574,2.289523809523809,0.9976190476190476
503,2018-01-19 20:00:00 +0000 UTC,1013,99,5,240,574,1.618095238095238,0.9161904761904761
504,2018-01-19 21:00:00 +0000 UTC,1013,80,2,220,574,1.925714285714286,0.852857142857143
505,2018-01-19 22:00:00 +0000 UTC,1014,69,5,250,574,2.146190476190476,1.033809523809524
506,2018-01-19 22:00:00 +0000 UTC,1014,69,5,250,574,1.7780952380952382,0.7552380952380953
507,2018-01-19 23:00:00 +0000 UTC,1015,74,4,240,574,1.5114285714285713,0.9195238095238096
508,2018-01-19 23:00:00 +0000 UTC,1015,74,4,240,574,2.051428571428571,1.0290476190476188
509,2018-01-20 00:00:00 +0000 UTC,1016,99,2,200,574,1.4323809523809525,0.6871428571428572
510,2018-01-20 00:00:00 +0000 UTC,1016,99,2,200,574,1.51,0.6085714285714284
511,2018-01-20 01:00:00 +0000 UTC,1017,99,2,90,574,1.5890476190476193,0.6661904761904761
512,2018-01-20 02:00:00 +0000 UTC,1016,86,4,230,574,1.9728571428571429,0.6447619047619046
513,2018-01-20 03:00:00 +0000 UTC,1016,74,4,220,574,1.7895238095238102,0.7238095238095236
514,2018-01-20 04:00:00 +0000 UTC,1015,74,2,200,574,2.0376190476190477,0.6766666666666667
515,2018-01-20 05:00:00 +0000 UTC,1015,74,2,200,574,1.7500000000000007,0.7409523809523808
516,2018-01-20 06:00:00 +0000 UTC,1014,69,4,220,574,2.0409523809523806,0.9276190476190478
517,2018-01-20 07:00:00 +0000 UTC,1014,69,6,240,574,1.9,0.924761904761905
518,2018-01-20 08:00:00 +0000 UTC,1013,74,5,240,574,1.8004761904761906,0.7895238095238096
519,2018-01-20 09:00:00 +0000 UTC,1013,80,4,230,574,1.9328571428571426,0.9571428571428571
520,2018-01-20 09:00:00 +0000 UTC,1013,80,4,230,574,1.775714285714286,0.9776190476190478
521,2018-01-20 10:00:00 +0000 UTC,1012,74,3,210,574,1.9047619047619044,0.9757142857142858
522,2018-01-20 11:00:00 +0000 UTC,1011,86,2,220,574,1.856190476190476,1.153809523809524
523,2018-01-20 12:00:00 +0000 UTC,1009,65,4,220,574,2.9095238095238094,1.5538095238095235
524,2018-01-20 13:00:00 +0000 UTC,1007,60,3,170,574,3.0785714285714283,2.2485714285714287
525,2018-01-20 14:00:00 +0000 UTC,1005,65,3,190,574,4.040476190476191,3.1942857142857144
526,2018-01-20 15:00:00 +0000 UTC,1004,65,0,0,574,2.1185714285714288,1.7823809523809524
527,2018-01-20 16:00:00 +0000 UTC,1002,97,4,200,574,2.5023809523809524,1.5033333333333334
528,2018-01-20 17:00:00 +0000 UTC,1001,86,5,200,574,6.748571428571427,3.5185714285714287
529,2018-01-20 18:00:00 +0000 UTC,1000,99,6,200,574,7.224285714285716,3.88952380952381
530,2018-01-20 19:00:00 +0000 UTC,999,86,11,230,574,7.5285714285714285,4.158571428571429
531,2018-01-20 20:00:00 +0000 UTC,1000,80,10,240,574,7.06047619047619,3.7461904761904763
532,2018-01-20 21:00:00 +0000 UTC,1000,86,9,240,574,7.413333333333335,3.650952380952381
533,2018-01-20 21:00:00 +0000 UTC,1000,86,9,240,574,7.067142857142857,3.4195238095238087
534,2018-01-20 22:00:00 +0000 UTC,1000,93,8,290,574,6.31047619047619,3.3652380952380945
535,2018-01-20 23:00:00 +0000 UTC,1000,87,5,240,574,6.087142857142857,3.2261904761904754
536,2018-01-21 00:00:00 +0000 UTC,1000,87,4,250,574,7.159523809523809,3.8885714285714283
537,2018-01-21 01:00:00 +0000 UTC,1003,66,6,0,574,7.310952380952381,4.187619047619048
538,2018-01-21 02:00:00 +0000 UTC,1003,87,4,260,574,6.179999999999999,3.5819047619047617
539,2018-01-21 03:00:00 +0000 UTC,1004,87,4,280,574,7.510000000000001,4.607142857142857
540,2018-01-21 04:00:00 +0000 UTC,1007,87,3,300,574,10.24047619047619,6.13952380952381
541,2018-01-21 05:00:00 +0000 UTC,1007,86,3,270,574,10.718571428571428,7.23285714285714
542,2018-01-21 06:00:00 +0000 UTC,1009,80,3,260,574,12.904761904761905,9.140476190476193
543,2018-01-21 07:00:00 +0000 UTC,1010,80,2,290,574,16.231428571428573,12.72857142857143
544,2018-01-21 09:00:00 +0000 UTC,1013,80,4,290,574,16.337142857142858,13.277142857142858
545,2018-01-21 10:00:00 +0000 UTC,1015,96,4,350,574,12.065714285714286,10.432380952380953
546,2018-01-21 11:00:00 +0000 UTC,1016,74,3,340,574,10.684761904761906,9.597142857142858
